order_date_fiscal_period,order_date_fiscal_week,order_date_fiscal_day,weight
P10,W3,1,0.0347098356160986
P10,W3,2,0.0316516568815399
P10,W3,3,0.0231585441820419
P10,W3,4,0.0272543343933242
P10,W3,5,0.0421673799403382
P10,W3,6,0.0348681759796494
P10,W3,7,0.0453117458722659
P10,W4,1,0.0335251044453682
P10,W4,2,0.0350168361940123
P10,W4,3,0.0261538511124223
P10,W4,4,0.0287086129236656
P10,W4,5,0.0501235666673568
P10,W4,6,0.042308086262366
P10,W4,7,0.0351084753038472
P11,W1,1,0.0752727706154464
P11,W1,2,0.054963236062304
P11,W1,3,0.0416494223738443
P11,W1,4,0.0458560299739132
P11,W1,5,0.058582262357734
P11,W1,6,0.0657900733978641
P11,W1,7,0.0755198895424225
P11,W2,1,0.0349384494131245
P11,W2,2,0.0300933193057361
P11,W2,3,0.0181879455962257
P11,W2,4,0.0270044557649181
P11,W2,5,0.0300959334609734
P11,W2,6,0.0281970631010642
P11,W2,7,0.0246345638497898
P11,W3,1,0.0292234278085012
P11,W3,2,0.0260762588550446
P11,W3,3,0.0200463963800404
P11,W3,4,0.0258360444553117
P11,W3,5,0.0389333847311232
P11,W3,6,0.0326802836140199
P11,W3,7,0.0307670795112728
P11,W4,1,0.0335286257427707
P11,W4,2,0.0282189189246916
P11,W4,3,0.0190050710896997
P11,W4,4,0.024560318126441
P11,W4,5,0.0301904098670384
P11,W4,6,0.0288063655747979
P11,W4,7,0.0213420005038865
P12,W1,1,0.0171333465577789
P12,W1,2,0.0144282810889245
P12,W1,3,0.00958489706305026
P12,W1,4,0.0110052503243291
P12,W1,5,0.0185010929636235
P12,W1,6,0.0160020297890617
P12,W1,7,0.0183526785481314
P12,W2,1,0.0223495310409356
P12,W2,2,0.0255513886952334
P12,W2,3,0.0227190867312759
P12,W2,4,0.0255618111315396
P12,W2,5,0.0294050086041301
P12,W2,6,0.0405724997244458
P12,W2,7,0.0329909438113847
P12,W3,1,0.0422715503039243
P12,W3,2,0.0232065658233752
P12,W3,3,0.0339412515623461
P12,W3,4,0.028712070869256
P12,W3,5,0.0287366037562191
P12,W3,6,0.0304738740169547
P12,W3,7,0.0378928732284175
P12,W4,1,0.0215266752865798
P12,W4,2,0.070688141675468
P12,W4,3,0.0410945300744971
P12,W4,4,0.0485212212202733
P12,W4,5,0.102331052570732
P12,W4,6,0.0793548407114399
P12,W4,7,0.107090902826672
P13,W1,1,0.025845051722661
P13,W1,2,0.0211449063764095
P13,W1,3,0.0211223514202176
P13,W1,4,0.0279582060923907
P13,W1,5,0.0338516158437224
P13,W1,6,0.0365317891212511
P13,W1,7,0.0440314391548545
P13,W2,1,0.040809913481407
P13,W2,2,0.0397583051337052
P13,W2,3,0.044110165527452
P13,W2,4,0.0425671463993975
P13,W2,5,0.0643015884142982
P13,W2,6,0.0652172334371884
P13,W2,7,0.0764075908407862
P13,W3,1,0.0488153403938475
P13,W3,2,0.0487029191987616
P13,W3,3,0.0482787614072238
P13,W3,4,0.0472698318301147
P13,W3,5,0.0549243562989477
P13,W3,6,0.0372134979075529
P13,W3,7,0.0323038959348227
P13,W4,1,0.0217087229429579
P13,W4,2,0.0144047329972965
P13,W4,3,0.00884486557881131
P13,W4,4,0.0126896169350508
P13,W4,5,0.0162003806313705
P13,W4,6,0.0149489293704047
P13,W4,7,0.0100368456070962
